,FileName,Split,RemoveJunkBefore,RemoveJunkAfter,Date,User
11,/datc/ortho/Cat2_pat28_meting20_oef2.csv,0,3,78,2018-12-10 10:07:47.360569,Rogier
12,/datc/ortho/Cat2_pat4_meting10_oef2.csv,95,0,173,2018-12-10 10:08:39.929094,Rogier
13,/datc/ortho/Cat2_pat10_meting10_oef2.csv,93,0,155,2018-12-10 10:10:37.615633,Rogier
14,/datc/ortho/Cat2_pat27_meting10_oef2.csv,105,0,211,2018-12-10 10:12:43.120235,Rogier
15,/datc/ortho/Cat2_pat7_meting10_oef2.csv,380,220,510,2018-12-10 10:13:33.156515,Rogier
16,/datc/ortho/Cat2_pat35_meting10_oef2.csv,0,1,165,2018-12-10 10:15:30.801202,Rogier
17,/datc/ortho/Cat2_pat39_meting10_oef2.csv,0,10,81,2018-12-10 10:16:16.922301,Rogier
18,/datc/ortho/Cat2_pat3_meting10_oef2.csv,91,1,175,2018-12-10 10:16:57.791369,Rogier
19,/datc/ortho/Cat2_pat14_meting20_oef2.csv,0,7,155,2018-12-10 10:17:16.268062,Rogier
20,/datc/ortho/Cat2_pat6_meting20_oef2.csv,0,9,150,2018-12-10 10:17:45.244129,Rogier
21,/datc/ortho/Cat2_pat10_meting20_oef2.csv,0,18,153,2018-12-10 10:18:11.214114,Rogier
22,/datc/ortho/Cat2_pat31_meting20_oef2.csv,0,1,57,2018-12-10 10:18:27.368374,Rogier
23,/datc/ortho/Cat2_pat12_meting10_oef2.csv,140,1,276,2018-12-10 10:19:59.574453,Rogier
24,/datc/ortho/Cat2_pat21_meting10_oef2.csv,80,1,145,2018-12-10 10:20:42.415699,Rogier
25,/datc/ortho/Cat2_pat17_meting20_oef2.csv,5,5,125,2018-12-10 10:21:53.421796,Rogier
26,/datc/ortho/Cat2_pat24_meting10_oef2.csv,165,11,265,2018-12-10 10:22:44.960623,Rogier
27,/datc/ortho/Cat2_pat6_meting10_oef2.csv,134,1,230,2018-12-10 10:23:18.606758,Rogier
28,/datc/ortho/Cat2_pat29_meting20_oef2.csv,0,1,120,2018-12-10 10:23:37.988432,Rogier
29,/datc/ortho/Cat2_pat1_meting10_oef2.csv,190,105,260,2018-12-10 10:24:59.402284,Rogier
30,/datc/ortho/Cat2_pat30_meting10_oef2.csv,49,3,135,2018-12-10 10:25:39.202649,Rogier
31,/datc/ortho/Cat2_pat22_meting20_oef2.csv,0,1,103,2018-12-10 10:25:54.515355,Rogier
32,/datc/ortho/Cat2_pat29_meting10_oef2.csv,120,11,207,2018-12-10 10:26:25.370494,Rogier
